id;name;note;content;quantity;weight;total_weight;is_verified
1;Steel;31485;calculating cross-platform Principal;35091;34790;81149;true
2;Handmade;76808;deposit Track actuating;64964;8294;93728;false
3;Steel;66812;applications Metical;9654;32061;94707;true
4;Internal intermediate;30312;green Malagasy;32770;54278;48018;false
5;Australian;16473;Wooden;70336;95238;37638;false
6;Security;94963;Identity Dynamic Sports;86396;55869;61482;true
7;Steel;15779;intangible Prairie;14557;63453;86573;false
8;Bike Shoes Center;20319;SMS;4722;28408;60076;true
9;Renminbi rich South;90340;project hacking efficient;50702;80217;94611;false
10;AGP lavender;71562;sticky Harbors Automotive;41021;62316;4460;false
